Tipo Responsable Academica;Responsable Académica;Tipo Propuesta Formativa;Propuesta Formativa;Año;Alumnos (NI+RI);Nuevos Inscriptos;Egresados
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2002;653,00;223,00;28,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2003;708,00;161,00;240,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2004;568,00;166,00;150,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2005;471,00;105,00;86,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2006;462,00;117,00;179,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2007;248,00;1,00;83,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2008;174,00;24,00;93,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2009;155,00;92,00;24,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2010;227,00;117,00;14,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2011;191,00;;18,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2012;152,00;1,00;43,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2013;141,00;41,00;57,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2014;77,00;4,00;24,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2015;41,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2016;29,00;;25,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2017;3,00;;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2018;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2019;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2020;4,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2021;253,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2022;5,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2023;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2024;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2025;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2003;1,00;1,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2004;4,00;3,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2005;6,00;3,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2006;53,00;49,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2007;70,00;33,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2008;91,00;37,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2009;124,00;54,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2010;173,00;65,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2011;246,00;96,00;12,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2012;278,00;103,00;10,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2013;332,00;106,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2014;305,00;74,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2015;278,00;57,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2016;357,00;137,00;10,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2017;320,00;81,00;12,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2018;297,00;80,00;14,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2019;337,00;102,00;19,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2020;330,00;83,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2021;359,00;41,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2022;269,00;42,00;10,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2023;270,00;57,00;8,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2024;317,00;62,00;8,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Ciencias Sociales;2025;269,00;59,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1991;72,00;72,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1992;36,00;33,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1993;30,00;25,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1994;32,00;28,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1995;24,00;21,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1996;27,00;23,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1997;178,00;176,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1998;135,00;8,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;1999;126,00;14,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2000;133,00;22,00;15,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2001;150,00;43,00;29,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2002;187,00;69,00;26,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2003;210,00;66,00;25,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2004;249,00;82,00;23,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2005;252,00;64,00;46,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2006;267,00;85,00;37,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2007;286,00;92,00;41,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2008;363,00;141,00;50,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2009;446,00;153,00;65,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2010;555,00;180,00;73,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2011;588,00;144,00;44,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2012;636,00;191,00;71,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2013;683,00;188,00;60,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2014;734,00;202,00;52,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2015;672,00;158,00;26,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2016;789,00;293,00;46,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2017;808,00;255,00;57,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2018;797,00;255,00;58,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2019;830,00;285,00;35,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2020;827,00;232,00;37,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2021;828,00;115,00;45,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2022;709,00;144,00;30,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2023;711,00;181,00;56,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2024;784,00;240,00;41,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social;2025;715,00;180,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2014;2,00;2,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2015;19,00;17,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2016;40,00;25,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2017;59,00;32,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2018;66,00;27,00;8,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2019;67,00;20,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2020;60,00;15,00;11,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2021;52,00;7,00;10,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2022;48,00;14,00;12,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2023;39,00;12,00;8,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2024;51,00;22,00;8,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Comunicación Social (Ciclo de Complementación Curricular);2025;46,00;12,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2014;197,00;197,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2015;223,00;137,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2016;272,00;154,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2017;314,00;155,00;11,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2018;424,00;209,00;21,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2019;505,00;240,00;27,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2020;473,00;144,00;36,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2021;619,00;153,00;20,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2022;486,00;79,00;91,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2023;338,00;77,00;54,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2024;305,00;91,00;27,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación (Ciclo de Complementación Curricular) - presencial;2025;267,00;81,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1991;81,00;81,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1992;10,00;9,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1993;8,00;8,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1994;19,00;19,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1995;14,00;14,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1996;16,00;15,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1997;70,00;70,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1998;49,00;4,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;1999;45,00;4,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2000;59,00;18,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2001;74,00;24,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2002;90,00;33,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2003;94,00;26,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2004;122,00;45,00;15,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2005;131,00;50,00;11,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2006;123,00;30,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2007;146,00;32,00;10,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2008;159,00;43,00;16,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2009;170,00;48,00;44,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2010;176,00;47,00;32,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2011;256,00;120,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2012;321,00;142,00;24,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2013;328,00;145,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2014;224,00;55,00;11,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2015;180,00;26,00;7,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2016;195,00;72,00;12,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2017;195,00;58,00;13,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2018;191,00;58,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2019;223,00;72,00;7,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2020;231,00;70,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2021;349,00;52,00;12,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2022;238,00;45,00;22,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2023;190,00;46,00;13,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2024;252,00;86,00;15,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Educación - presencial;2025;198,00;54,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2011;406,00;406,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2012;450,00;250,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2013;496,00;201,00;47,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2014;553,00;189,00;23,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2015;591,00;175,00;24,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2016;918,00;460,00;26,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2017;1.118,00;559,00;82,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2018;1.289,00;633,00;101,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2019;1.555,00;756,00;110,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2020;1.538,00;550,00;96,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2021;1.887,00;287,00;125,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2022;1.530,00;473,00;107,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2023;1.581,00;467,00;117,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2024;1.656,00;428,00;116,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Enfermería;2025;1.427,00;288,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2013;4,00;4,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2014;71,00;69,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2015;144,00;92,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2016;274,00;163,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2017;320,00;139,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2018;336,00;128,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2019;311,00;93,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2020;322,00;81,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2021;311,00;54,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2022;290,00;48,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2023;298,00;75,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2024;327,00;78,00;5,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia;2025;335,00;100,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2013;126,00;126,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2014;104,00;47,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2015;103,00;31,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2016;88,00;20,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2017;83,00;24,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2018;102,00;30,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2019;104,00;28,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2020;95,00;16,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2021;92,00;19,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2022;84,00;16,00;6,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2023;75,00;18,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2024;87,00;18,00;4,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Historia (Ciclo de Complementación Curricular);2025;80,00;21,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1991;14,00;14,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1992;2,00;2,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1993;4,00;4,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1994;4,00;4,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1995;6,00;6,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1996;25,00;25,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1997;389,00;388,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1998;300,00;71,00;28,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;1999;349,00;89,00;37,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2000;387,00;107,00;31,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2001;439,00;131,00;60,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2002;499,00;158,00;31,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2003;510,00;121,00;52,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2004;509,00;109,00;49,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2005;510,00;87,00;42,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2006;532,00;118,00;41,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2007;538,00;107,00;56,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2008;576,00;117,00;53,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2009;621,00;152,00;56,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2010;709,00;184,00;81,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2011;851,00;250,00;57,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2012;960,00;282,00;55,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2013;1.129,00;345,00;76,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2014;1.317,00;402,00;46,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2015;1.442,00;352,00;74,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2016;1.739,00;552,00;88,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2017;1.834,00;531,00;74,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2018;1.801,00;425,00;91,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2019;2.084,00;692,00;99,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2020;2.057,00;464,00;81,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2021;2.171,00;272,00;139,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2022;1.767,00;284,00;114,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2023;1.629,00;283,00;118,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2024;1.691,00;348,00;127,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Licenciatura en Terapia Ocupacional - presencial;2025;1.602,00;344,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;1999;1,00;1,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2000;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2003;2,00;2,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2004;1,00;1,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2006;1,00;;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2007;2,00;2,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2008;13,00;11,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2009;38,00;27,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2010;75,00;49,00;3,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2011;95,00;58,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2012;129,00;54,00;4,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2013;128,00;38,00;1,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2014;156,00;61,00;9,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Profesorado de Ciencias Sociales;2015;157,00;57,00;3,00
